"ACCESSIBILITY",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Barriers","All Active Modes","PA17","Presence and accessibility of barriers.",,"Key public access points (e.g. interfaces with public highway) to the path are restricted by barriers that would inhibit legitimate users.

Or, there are barriers along the path that inhibit legitimate users.","Key public access points (e.g. interfaces with public highway) do not have barriers, but other public access points have barriers that would inhibit legitimate users.","No public access points to the path have barriers that would inhibit legitimate users.",,,,,,
"Steps","All Active Modes","PA18","Presence of steps.",,"Steps are unavoidable at key public access points (e.g. interfaces with public highway).

Or, there are unavoidable steps along the path.","A step-free route is possible at key public access points (e.g. interfaces with public highway) and along the path, but steps are present at other public access points.","A step-free route is possible at all public access points and along the path.",,,,,,
"Gradient","Walking / Wheeling / Cycling","PA19","Steepest gradient due to underlying terrain.

(For gradients at ramps, dropped kerbs and cambers, see metrics SA14 and SA15).",,"More than 5%.","3-5%.","Less than 3%.",,,,,,
"Tactile Information and Signal Equipment","All Active Modes","PA20","Adherence of tactile paving to recommended layouts and colours in 'Guidance on the Use of Tactile Paving Surfaces' and accessibility of signal equipment.",,"Guidance on tactile paving has not been considered.

Or, there is signal equipment which is incorrectly situated, inaccessible or faulty (for example in terms of rotating cones).","Guidance on tactile paving has been considered, but the area is not fully legible.","Guidance on tactile paving has been considered and the area is fully legible.",,,,,,"n/a option possible"
"Ability to Turn Around","All Active Modes","PA21","Presence and frequency of turning points (open and flat areas of at 4m x 4m).",,"There are no turning points.

Or, turning points are over 1km apart or not provided between all public access points.","Turning points are approximately 1km apart. ","The path is at least 4m wide.

Or, turning points are less than 1km apart and provided between all public access points.",,,,,,
,,,,,,,,,,,,,
"COMFORT",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Width of Shared Use Spaces","All Active Modes","PA22","Effective width of shared use spaces.",,"Where pedestrians and cyclists are in a shared facility without horses, the width requirements set out in Table 6-3 of LTN 1/20 are not met.

Where horses are in a shared facility with pedestrians and/or cyclists, the width is less than 4m.","Where pedestrians and cyclists are in a shared facility without horses, the width requirements set out in Table 6-3 of LTN 1/20 are met.

Where horses are in a shared facility with pedestrians and/or cyclists, the width is 4m.","Where pedestrians and cyclists are in a shared facility without horses, the width requirements set out in Table 6-3 of LTN 1/20 are exceeded.

Where horses are in a shared facility with pedestrians and/or cyclists, the width is greater than 4m.",,,,,,"n/a option possible"
"Width of Walking and Wheeling Spaces","Walking / Wheeling","PA23","Effective width of dedicated walking/wheeling spaces.",,"Less than 1.5m.","1.5-2.0m.","More than 2.0m.",,,,,,"n/a option possible"
