"SAFETY",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Conflict at Side Roads and Priority Junctions","Walking / Wheeling / Cycling","SA01","Pedestrian and cyclist conflict with motor traffic at side roads/priority junctions.","More than 2,500vpd cut across main walking, wheeling or cycling streams.","Less than 2,500vpd cut across main walking, wheeling or cycling streams, but side roads and priority junctions are untreated.","Less than 2,500vpd cut across main walking, wheeling or cycling streams and side roads and priority junctions have entry treatments. ","Side roads/priority junctions have entry treatments that offer greater protection for  pedestrian and cycle movements (e.g. exit only, continuous footways, zebra/parallel crossings as appropriate to context).",,,,,,,,,,
"Conflict at Roundabouts and Signal Junctions","Walking / Wheeling / Cycling","SA02","Pedestrian and cyclist conflict with motor traffic at roundabouts and signal-controlled junctions.","More than 2,500vpd cut across main walking, wheeling or cycling streams.","The principal pedestrian and/or cyclist movements are in conflict with motor traffic movements at roundabouts and/or signal controlled junctions.","The principal pedestrian and cyclist movements are separated from motor traffic movements at roundabouts and/or signal controlled junctions.","All pedestrian and cyclist movements are separated from all motor traffic movements at roundabouts and/or signal controlled junctions.",,,,,,,,,,
"Lane Widths","Cycling","SA03","Effect of lane widths on conflict between cyclists and motor traffic.","Cyclists are mixed with traffic in lanes between 3.25m and 3.90m wide. 

Or, cyclists are in unprotected cycle lanes and the combined width of the cycle lane and adjacent traffic lane is between 3.25m and 3.90m.","Cyclists are mixed with traffic in lanes less than 3.25m wide or over 3.90m wide.

Or, cyclists are in unprotected cycle lanes and the combined width of the cycle lane and adjacent traffic lane is under 3.25m or over 3.90m. 

Or cyclists are mixed with traffic on busy urban streets with no centre line.

Or, there are speed cushions present.","Cyclists are in cycle lanes with light protection or stepped cycle tracks under 1.8m wide (single direction).

Or, cyclists are in a protected bidirectional cycle facility under 2.5m wide.

Or, cyclists are mixed with traffic on quiet urban streets with no centre line.","Cyclists are protected from motor traffic or off-road entirely.",,,,,,,,,,
"Trip Hazards","Walking / Wheeling","SA04","Risk of pedestrians tripping due to hazards.","There are level differences of greater than 13mm with no tactile information and colour contrast to help identify them.","Many trip hazards.","Few trip hazards.","No trip hazards, level clear surface.",,,,,,,,,,
"Kerbside Activity","Cycling","SA05","Cyclist conflict with kerbside activity, including risk of 'dooring'.","Cycle facility next to parking/loading facility, without a buffer of at least 0.5m.

Or, an unprotected cycle lane is next to a frequently-used bus layby.","Frequent kerbside activity for cyclists to contend with. Conflict with cyclists is not well-managed.","Less frequent kerbside activity, and conflict with cyclists is well-managed.","Kerbside activity is well-managed with no or minimal conflict with cyclists. ",,,,,,,,,,
"Provision of Crossings","Walking / Wheeling","SA06","Ability of pedestrians to cross the street safely on desire lines.","On very busy streets (more than 8,000vpd) controlled crossings (including zebra crossings) are not present or more than 400m apart.

On quieter streets (less than 8,000vpd), desire lines are blocked by parking and loading. ","On very busy streets (more than 8,000vpd), controlled crossings (including zebra crossings) are provided every 200-400m.

On quieter streets (less than 8,000vpd), loading/parking is formalised with gaps for pedestrians to cross.","On very busy streets (more than 8,000vpd), controlled crossings (including zebra crossings) are provided every 100-200m.

On quieter streets (less than 8,000vpd), loading/parking is formalised with gaps for pedestrians to cross on desire lines.","On very busy streets (more than 8,000vpd), controlled crossings (including zebra crossings) are provided every 50-100m. 

On quieter streets (less than 8,000vpd), there are controlled crossings or only one lane of traffic to cross.",,,,,,,,,,
"Standard of Crossings","Walking / Wheeling","SA07","Suitability of pedestrian crossings in context.","On very busy streets (more than 8,000vpd), there are uncontrolled crossings of two or more lanes with no gaps in traffic.

At signal junctions there are arms with dropped kerbs and tactile paving but no green pedestrian symbol.","On very busy streets (more than 8,000vpd), there are uncontrolled crossings or zebra/parallel crossings.

On quieter streets (less than 8,000vpd), crossing points have no implied priority or there are no crossing points.","On very busy streets (more than 8,000vpd), signal crossings are provided for pedestrians.

On quieter streets (less than 8,000vpd), crossing points have effective implied priority for pedestrians.","On very busy streets (more than 8,000vpd), signal crossings rest on green for pedestrians or have rapid response.

On quieter streets (less than 8,000vpd), crossing points are controlled crossings.",,,,,,,,,,
"Motor Traffic Speed","Walking / Wheeling / Cycling","SA08","85th percentile speed of motor traffic (where cyclists are not protected or pedestrians cross uncontrolled).","85th percentile speed is over 30mph.","85th percentile speed is between 25mph and 30mph.","85th percentile speed is between 20mph and 25mph.","85th percentile speed is under 20mph.

Or, cyclists are protected from motor traffic or off-road entirely and controlled crossings are provided for pedestrians wherever needed.",,,,,,,,,,
"Motor Traffic Volume","Walking / Wheeling / Cycling","SA09","Volume of motor traffic at the busiest hour (where cyclists are not protected or  pedestrians cross uncontrolled).","More than 1,000 vehicles in the busiest hour.

Or, over 5% of traffic is HGVs where there are over 500 vehicles in the busiest hour.","500-1,000 vehicles in the busiest hour.

Or, 2-5% of traffic is HGVs where there are 200-499 vehicles in the busiest hour.","200-499 vehicles in the busiest hour.

And, less than 2% of traffic is HGVs.","Less than 200 vehicles in the busiest hour.

Or, cyclists are protected from motor traffic or off-road entirely and controlled crossings are provided for pedestrians wherever needed.",,,,,,,,,,
"Pedestrian Crossing Speed","Walking / Wheeling","SA10","Required crossing speed at signal crossings (risk of pedestrians coming into conflict with traffic).","Pedestrians who start crossing at the end of the 'invitation to cross' must cross at a speed of over 1.2m/s to get across the whole crossing in time.","There are no detectors to extend crossing times, but pedestrians who start crossing at the end of the 'invitation to cross' can cross at a speed of 1.2m/s and get across the whole crossing in time.","There are detectors present on the crossing which extend crossing times based on a crossing speed of 1.2m/s.","There are detectors present on the crossing which extend crossing times based on a crossing speed of 1m/s.",,,,,,,,,,
"Footway Widths","Walking / Wheeling","SA11","Clear walking and wheeling spaces free of permanent obstructions and furniture, reducing risk of pedestrians walking in the carriageway.","Where the footway is next to the carriageway, there is:
• less than 1m clear footway width on any footway
• less than 1.5m clear footway width for over 6m
• 1m-2m clear footway width with a Pedestrian Comfort Level of D-E

Or there is no footway.","Where the footway is next to the carriageway, there is:
• less than 2m clear footway width but pedestrian comfort is good (PCL of A-C)
• 2m-3m clear footway width and pedestrian comfort is poor (PCL of D-E).

Where the footway is not next to the carriageway, the clear footway width is less than 1.5m.","Where the footway is next to the carriageway, there is:
• 2m-3m clear footway width and pedestrian comfort is good (PCL of A-C).
• More than 3m clear footway width and pedestrian comfort is poor (PCL of D-E).

Where the footway is not next to the carriageway, the clear footway width is 1.5m-3m.","More than 3m clear footway width and pedestrian comfort is good (PCL of A-C).",,,,,,,,,,
"Effective Width next to Tram Lines","Cycling","SA12","Effective width next to tram line on a straight run or a curve.","Less than 2.4m from tramline edge to kerb on a straight run.

Insufficient clearance on a curve.","2.4m from tramline edge to kerb.","More than 2.4m from tramline edge to kerb.","Physical protection is provided for cyclists.",,,,,,,,,,
"Crossing Angle of Tram/Train Rails","Cycling","SA13","Crossing angle (between cyclist desire line and tram or train rails).","Crossing angle less than 60 degrees.","Crossing angle between 60 and 80 degrees.","Crossing angle between 80 and 90 degrees (or between 60 and 80 degrees with track filler creating a smooth crossing for cyclists).","Crossing angle between 80 and 90 degrees with track filler creating a smooth crossing for cyclists.",,,,,,,,,,
"Cycling Surface and Maintenance Defects","Cycling","SA14","Cycling surface and maintenance defects:
• sharp gradients (12.5% or more)
• non cycle friendly ironworks
• raised/sunken covers or gullies
• potholes
• loose/cracked surfaces
• poor drainage or skid risks
• overgrown vegetation","Major defects.","Many minor defects.","Few minor defects.","No defects.",,,,,,,,,,
"Walking/Wheeling Surface and Maintenance Defects","Walking / Wheeling","SA15","
Walking/wheeling surface and maintenance defects:
• steep camber (horizontal gradient more than 2.5% )
• steep longitudinal gradients (8% or more if under 1m, 5% or more if 1m or over) 
• missing dropped kerbs
• non flush tables
• misleading tactile information
• loose/cracked surfaces
• poor drainage or slip risks
• overgrown vegetation
","Major defects.","Many minor defects.","Few minor defects.","No defects.",,,,,,,,,,
"Guard Railing","Walking / Wheeling / Cycling","SA16","Presence of guard railing.","Guard railing used as standard without consideration of inherent safety risks.","Guard railing used to control behaviour in complex and sensitive environments.","Minimal guard railing, used to address a clear safety issue such as a level difference.","No guard railing anywhere on the route.",,,,,,,,,,
