"ACCESSIBILITY",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Gradient","Walking / Wheeling / Cycling","ST17","Steepest gradient due to underlying terrain.

(For gradients at ramps, dropped kerbs and cambers, see metrics SA14 and SA15).",,">5%.","3-5%.","<3%.",,,,,,,,,,
"Tactile Information and Signal Equipment","Walking / Wheeling / Cycling","ST18","Adherence of tactile paving to recommended layouts and colours in 'Guidance on the Use of Tactile Paving Surfaces' and accessibility of signal equipment.",,"Guidance on tactile paving has not been considered.

Or, there is signal equipment which is incorrectly situated, inaccessible or faulty (for example in terms of rotating cones).","Guidance on tactile paving has been considered, but the area is not fully legible.","Guidance on tactile paving has been considered and the area is fully legible.",,,,,,,,,,
"Barriers","Walking / Wheeling / Cycling","ST19","Presence and accessibility of barriers.",,"Barriers are not accessible by wheelchair users and/or users on solo upright cycles (as defined in LTN 1/20) and/or mobility scooters.","All barriers are accessible by wheelchair users, mobility scooters, and by users on solo upright cycles (as defined in LTN 1/20), with sufficient space to turn.","All barriers are accessible by the cycle design vehicle referenced in LTN 1/20, with sufficient space to turn.

Or, there are no barriers.",,,,,,,,,,
"Bus Stops","Walking / Wheeling / Cycling","ST20","Interactions at bus stops.",,"At bus stops, cyclists regularly have to wait behind buses or overtake them in general traffic lanes.

Or, there are likely to be high-level interactions between pedestrians and cyclists.","At bus stops, cyclists are protected from buses and traffic, but there are likely to be medium-level interactions between pedestrians and cyclists.","At bus stops, cyclists are protected from buses and traffic and interactions between pedestrians and cyclists are likely to be low-level.",,,,,,,,,,
"Wheelchair Access","Wheeling","ST21","Accessibility of pedestrian facilities by wheelchair.",,"Pedestrian facilities (including any crossings, connections and public transport interchange facilities) are not wheelchair accessible.","All pedestrian facilities (including any crossings, connections and public transport interchange facilities) are step-free and accessible for wheelchair users, but some interaction with cyclists is possible.","All pedestrian facilities (including crossings, connections and public transport interchange facilities) are step-free and accessible for wheelchair users, and there is no potential for interaction with cyclists.",,,,,,,,,,
"Access to Taxis and Blue Badge Parking","Walking / Wheeling / Cycling","ST22","Distance to accessible pick-up, drop-off or hailing points, or blue badge parking facilities.",,"Where people meet, wait, or spend time in numbers, it is over 150m to the nearest accessible pick-up, drop-off or hailing points, or blue badge parking facilities.","Where people meet, wait, or spend time in numbers, it is less than 150m to the nearest accessible pick-up, drop-off or hailing points, or blue badge parking facilities.","Where people meet, wait, or spend time in numbers, it is less than 50m to nearest accessible pick-up, drop-off or hailing points, or blue badge parking facilities.",,,,,,,,,,
"Access to Toilets","Walking / Wheeling / Cycling","ST23","Provision of sanitary facilities.

E.g. toilets and/or baby change facilities.",,"Where people meet, wait or spend time in numbers, it is over 150m to the nearest accessible sanitary facilities.","Where people meet, wait or spend time in numbers, it is less than 150m to the nearest accessible sanitary facilities.","Where people meet, wait or spend time in numbers, it is less than 50m to the nearest accessible sanitary facilities.",,,,,,,,,,
,,,,,,,,,,,,,,,,,
"COMFORT",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Cycling Surface Material","Cycling","ST24","Type of cycling surface material.",,"Unsurfaced/unbound or unstable blocks/sets.","Hand-laid asphalt or smooth blocks.","Machine-laid asphalt or smooth and firm blocks undisturbed by turning vehicles.",,,,,,,,,,
